Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_2_Replicate_11	-9783.5	19575.0	31883.67	1414.36	0.5377,0.0741,0.0291,0.129
1	Round_3_Replicate_11	-4193.93	8395.86	90313.39	781.83	0.5551,4.3145,0.104,0.034
1	Round_3_Replicate_13	-4019.32	8046.64	23259.35	1369.81	0.0217,0.2609,0.0047,0.0188
1	Round_3_Replicate_8	-4123.63	8255.26	7280.78	902.83	0.2714,3.021,0.0869,0.0274
1	Round_2_Replicate_13	-6191.17	12390.34	14496.22	869.44	0.9738,1.2725,0.131,0.333
1	Round_3_Replicate_9	-8292.75	16593.5	101955.4	563.43	0.2839,5.9218,0.3181,0.0453
1	Round_2_Replicate_12	-27176.27	54360.54	2965098.25	749.21	6.2453,0.0541,0.23,0.2377
1	Round_3_Replicate_12	-4144.49	8296.98	10735.58	1075.09	0.0963,10.4769,0.0252,0.0641
1	Round_3_Replicate_9	-6563.86	13135.72	22889481108283.88	798.08	1.2067,5.7824,0.0671,0.0421
1	Round_3_Replicate_10	-4625.73	9259.46	178336.63	1110.77	0.7251,0.5725,0.0566,0.0289
1	Round_3_Replicate_14	-3951.09	7910.18	10293.88	1228.88	0.0363,2.2181,0.0101,0.0047
1	Round_2_Replicate_14	-4165.38	8338.76	7081.21	996.49	0.1252,6.9239,0.0418,0.0206
1	Round_2_Replicate_13	-13506.2	27020.4	69635.65	1430.62	0.5987,0.0623,0.0408,0.3776
1	Round_3_Replicate_13	-4216.74	8441.48	80446.44	929.38	0.3049,3.9834,0.0591,0.0865
1	Round_3_Replicate_10	-9027.8	18063.6	125640.41	553.32	0.1887,10.5288,0.2464,0.0087
1	Round_2_Replicate_15	-3976.26	7960.52	28157.74	1067.36	0.1024,17.8131,0.0248,0.0273
1	Round_3_Replicate_11	-4499.63	9007.26	32928.54	741.95	0.7651,3.239,0.138,0.09
